train_upto,test_month,n_train,n_test,event_rate_test_pct,roc_auc,pr_auc,brier_score,mse,rmse,mae,precision_at_0.5,recall_at_0.5,f1_at_0.5,best_threshold,precision_at_best_thr,recall_at_best_thr,f1_at_best_thr
2025-01,2025-02,744,672,19.64,0.7780723905723905,0.4456400755226082,0.16729405792343816,0.16729405792343816,0.4090159629200774,0.20602711839923618,0.0,0.0,0.0,0.029156984761357307,0.3667953667953668,0.7196969696969697,0.4859335038363171
2025-02,2025-03,1416,744,32.26,0.8832837301587302,0.7561079773194798,0.16771793611831598,0.16771793611831598,0.4095338033890682,0.3863377385242011,0.84,0.4375,0.5753424657534246,0.3958132565021515,0.8246445497630331,0.725,0.7716186252771619
2025-03,2025-04,2160,720,47.22,0.9221594427244583,0.9179127039638806,0.11336793187112723,0.11336793187112723,0.3367015471766164,0.2807046809130245,0.8961038961038961,0.8117647058823529,0.8518518518518519,0.49613437056541443,0.8964401294498382,0.8147058823529412,0.8536209553158706
2025-04,2025-05,2880,744,14.78,0.8835747060510467,0.7348773873897465,0.10973862704926447,0.10973862704926447,0.331268210139857,0.30987040436155694,0.8191489361702128,0.7,0.7549019607843137,0.5697168111801147,0.8369565217391305,0.7,0.7623762376237624
2025-05,2025-06,3624,720,33.75,0.9095814892460595,0.8417525967808654,0.2096026212676115,0.2096026212676115,0.4578237884466157,0.45311903787983787,0.6626506024096386,0.9053497942386831,0.7652173913043478,0.5594404339790344,0.8135593220338984,0.7901234567901234,0.8016701461377871
2025-06,2025-07,4344,744,10.22,0.8852131263788213,0.5459738369238732,0.08712352341748889,0.08712352341748889,0.2951669416067607,0.2243980501067414,0.5454545454545454,0.5526315789473685,0.5490196078431373,0.6544541716575623,0.6349206349206349,0.5263157894736842,0.5755395683453237
2025-07,2025-08,5088,744,8.06,0.8922880116959064,0.4538944442043359,0.19695116328004444,0.19695116328004444,0.44379180172694094,0.44028011553229823,0.36538461538461536,0.6333333333333333,0.4634146341463415,0.5267760157585144,0.38144329896907214,0.6166666666666667,0.4713375796178344
2025-08,2025-09,5832,720,10.14,0.8229764349685588,0.3592617374311751,0.1089113147455022,0.1089113147455022,0.33001714310850916,0.243531606061798,0.3804347826086957,0.4794520547945205,0.42424242424242425,0.47961318492889404,0.37,0.5068493150684932,0.4277456647398844
2025-09,2025-10,6552,744,6.45,0.8327795737547892,0.3577798715343218,0.10241431290343088,0.10241431290343088,0.3200223631301895,0.278430097045437,0.37681159420289856,0.5416666666666666,0.4444444444444444,0.5536516904830933,0.4262295081967213,0.5416666666666666,0.47706422018348627
2025-10,2025-11,7296,720,0.83,0.996031746031746,0.6472222222222223,0.03877694658932895,0.03877694658932895,0.1969186293607818,0.16516739350433152,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.7346531748771667,0.8333333333333334,0.8333333333333334,0.8333333333333334
2025-11,2025-12,8016,744,1.48,0.8149572119558477,0.3285419168527002,0.2172866679334113,0.2172866679334113,0.4661401805609674,0.4652209536282606,0.05982905982905983,0.6363636363636364,0.109375,0.5763623118400574,0.5555555555555556,0.45454545454545453,0.5
2025-12,2026-01,8760,744,1.48,0.9027657199553516,0.1989192400830332,0.21014817111816358,0.21014817111816358,0.4584192089323522,0.4576092114451752,0.09859154929577464,0.6363636363636364,0.17073170731707318,0.617876410484314,0.5,0.2727272727272727,0.35294117647058826
2026-01,2026-02,9504,672,1.79,0.9424242424242424,0.6312674575506434,0.11163426605714344,0.11163426605714344,0.3341171442131389,0.3246911502487603,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.6754778623580933,0.8333333333333334,0.8333333333333334,0.8333333333333334
2026-02,2026-03,10176,744,10.35,0.8406024260596974,0.5100345283754601,0.2564632099663384,0.2564632099663384,0.5064219682896255,0.5053749876797841,0.1431451612903226,0.922077922077922,0.24781849912739964,0.5652897953987122,0.7213114754098361,0.5714285714285714,0.6376811594202898
2026-03,2026-04,10920,720,0.28,0.7980501392757661,0.00980392156862745,0.24343478577725478,0.24343478577725478,0.49339110832812416,0.4933282084349129,0.0,0.0,0.0,0.49334898591041565,0.00980392156862745,1.0,0.019417475728155338
2026-04,2026-05,11640,744,1.88,0.957289628180039,0.6433508887425938,0.25273259542937937,0.25273259542937937,0.5027251688839334,0.5026588544890445,0.01881720430107527,1.0,0.036939313984168866,0.5235658288002014,0.7857142857142857,0.7857142857142857,0.7857142857142857
2026-05,2026-06,12384,720,1.67,0.9813441619585688,0.4456772918887257,0.09247851853564464,0.09247851853564464,0.3041028091544776,0.29880397129389974,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.6084387302398682,0.5714285714285714,0.6666666666666666,0.6153846153846154
2026-06,2026-07,13104,744,3.36,0.9296244784422809,0.5576048933193212,0.14733003162660543,0.14733003162660543,0.38383594363556606,0.37624834117389494,0.31746031746031744,0.8,0.45454545454545453,0.7186732292175293,0.7058823529411765,0.48,0.5714285714285714
2026-07,2026-08,13848,720,8.61,0.9017060496127072,0.5650076552460613,0.2221522463902695,0.2221522463902695,0.47133029436931967,0.46749829024904305,0.30409356725146197,0.8387096774193549,0.44635193133047213,0.6424860954284668,0.7555555555555555,0.5483870967741935,0.6355140186915887
