rasio_mrc_pct,rasio_lrc_pct,mean_beban_mw,mean_cost_rp,mean_risk_cost_rp,mean_fuel_cost_rp_per_hour,p50_cost_rp,p95_cost_rp,cvar95_cost_rp,prob_cfm_exceed,prob_stock_below_safety,mean_sfc_pred,mean_cv_blend,mean_bpp_rp_per_kwh,mean_bpp_dgn_risiko_rp_per_kwh
0.0,100.0,252.602,359795923.94853866,149703280.0,210092656.36453864,342360511.75984704,478682968.41204953,519870597.7469288,0.3950520157814026,0.3014848828315735,0.767977931481254,4095.96075,844.7757246293794,1488.7481138598994
5.0,95.0,252.51445833333335,359324688.23722243,148597248.0,210727444.14522243,341216157.0989826,475910403.0731805,516205995.8954846,0.39005810022354126,0.3002950847148895,0.766053428629964,4122.4139000000005,847.9445401505072,1484.6781932166805
10.0,90.0,252.53129166666665,355244874.1833888,143192880.0,212052001.04138887,333761876.7512716,478783547.52764827,522700595.7521619,0.39208948612213135,0.2812648415565491,0.7659790792607025,4145.715174999999,853.1474984805704,1469.3434238182556
15.0,85.0,251.70108333333332,352962848.9521085,140934544.0,212028297.46810853,331504883.9905529,476821919.15384287,515183888.8809071,0.38467732071876526,0.27744317054748535,0.7634962512264084,4172.321575,855.6502487494358,1461.723652902795
20.0,80.0,251.773375,350143827.19628006,137771024.0,212372807.1002801,329398571.42570394,475046706.4171605,510347277.5314197,0.3825364410877228,0.2679685354232788,0.7599419642663489,4199.605950000001,856.910558906735,1452.8598865614479
25.0,75.0,251.4655416666667,355063862.26801974,141367456.0,213696397.87801972,335205975.6910606,479117085.6011411,519601325.4237854,0.38240429759025574,0.2800227701663971,0.7610985293587423,4224.393875,863.4662815574931,1476.9778012113713
30.0,70.0,252.15170833333332,351970094.8822125,137473216.0,214496886.84421256,331591921.7535647,476802547.54385656,515747447.1360763,0.38164928555488586,0.26741936802864075,0.7576107511980635,4251.907475,864.7369114174699,1461.9937153842068
35.0,65.0,252.75645833333334,353161196.2679322,136321248.0,216839937.04793212,333768666.71473044,473711706.11311793,511483001.3368438,0.38362929224967957,0.26258954405784607,0.7593531349959637,4275.5732124999995,871.9652049158651,1460.9329899674342
40.0,60.0,251.00241666666668,350056288.7163779,134107032.0,215949258.33637786,331364531.48840195,476569305.19678426,509404496.8169648,0.37677672505378723,0.2586350739002228,0.7566898781339159,4297.625349999999,874.1281472202995,1453.043708784551
45.0,55.0,251.56979166666665,349267209.04331195,131915272.0,217351932.31731194,333092510.38420427,466080748.747607,500636818.6245796,0.3790057301521301,0.25021472573280334,0.7553038257836526,4326.89415,877.7385759431827,1451.2262291780748
50.0,50.0,251.42433333333332,347438166.65194505,129744048.0,217694113.81394506,331882169.30670613,461322295.16756594,493064680.17165214,0.3738706111907959,0.245544895529747,0.7522527954055848,4349.882375,879.3835178291286,1438.9631365056607
55.0,45.0,251.43116666666668,347400776.9871528,128681728.0,218719046.52315286,332913318.1207185,458295540.7579962,495035734.8177028,0.37629586458206177,0.2407911717891693,0.7520816574260523,4376.114775,884.3728209672951,1447.1374146529022
60.0,40.0,250.5114583333333,346006307.9032188,128170896.0,217835410.91121882,332305783.8552901,456251058.0977909,487548743.59087634,0.37091121077537537,0.24178069829940796,0.7474217786309277,4402.080550000001,884.0504797646613,1444.6272214747896
65.0,35.0,250.934875,348023357.56943774,127268552.0,220754803.47343776,334412302.72867846,461409608.66405433,494084220.5950163,0.3769715428352356,0.2357427328824997,0.7515836252529821,4426.0065875,894.1590389634727,1444.6900740279666
70.0,30.0,251.08416666666665,348382562.7597676,127781416.0,220601145.94576758,334356337.23578036,464066651.88506585,498658135.34692705,0.37258657813072205,0.23964476585388184,0.7461285717378908,4452.330975000001,892.8174489415601,1449.852631887694
75.0,25.0,251.20929166666664,328413785.6013773,106132488.0,222281300.15337732,322357747.5724326,433821979.7420721,460099085.68890023,0.3714286684989929,0.16806060075759888,0.7471980605235925,4476.8665,899.2528658401436,1341.6819725767384
80.0,20.0,251.431375,328948510.21841943,105728504.0,223220010.75441942,322337262.30212325,436853918.9075667,464103229.4646206,0.37410682439804077,0.16537491977214813,0.7448774217391865,4503.3915,901.5996312731113,1340.680791968774
85.0,15.0,251.22329166666665,328945729.6887812,105414640.0,223531084.4947812,322379682.2285284,439061568.39824337,469699415.10821426,0.3738817870616913,0.1644412875175476,0.7428597222595542,4527.387775,904.2831399065552,1342.0555663080572
90.0,10.0,251.46279166666665,328436297.49325496,104140064.0,224296235.3072549,322768717.9410682,436387572.43749064,464438012.76829475,0.3706744909286499,0.16179628670215607,0.7407301255672646,4552.658575,906.8018197194452,1339.1210246174428
95.0,5.0,250.83016666666668,328731812.9498859,104052456.0,224679352.62388587,322959191.26688117,438391366.74846846,462252828.61943877,0.37065911293029785,0.16151198744773865,0.7395706675684669,4577.450675000001,910.4854488435394,1342.8212875607292
100.0,0.0,249.432125,328845938.57860035,103612400.0,225233533.86860037,322855739.09721196,440311459.87835115,465758645.7658977,0.37221643328666687,0.15926645696163177,0.7414928602410479,4605.08275,917.9681609784171,1351.6571853946982
