train_upto,test_month,n_train,n_test,event_rate_test_pct,roc_auc,pr_auc,brier_score,mse,rmse,mae,precision_at_0.5,recall_at_0.5,f1_at_0.5,best_threshold,precision_at_best_thr,recall_at_best_thr,f1_at_best_thr
2025-03,2025-04,2160,720,0.0,,,2.2784824082841253e-05,2.2784824082841253e-05,0.004773345166949616,0.0034793567749147767,0.0,0.0,0.0,,,,
2025-04,2025-05,2880,744,0.0,,,0.0005451473523150429,0.0005451473523150429,0.02334839078641273,0.006453584777851594,0.0,0.0,0.0,,,,
2025-05,2025-06,3624,720,3.33,0.9059506704980843,0.23061603812723214,0.03314276622073591,0.03314276622073591,0.18205154825141123,0.03447775566002949,0.0,0.0,0.0,0.0021015151869505644,0.2,1.0,0.3333333333333333
2025-06,2025-07,4344,744,0.0,,,0.13044360147942516,0.13044360147942516,0.3611697682246192,0.36116976507248416,0.0,0.0,0.0,,,,
2025-07,2025-08,5088,744,0.0,,,5.156130580155963e-06,5.156130580155963e-06,0.002270711470036641,0.0008679336867209459,0.0,0.0,0.0,,,,
2025-08,2025-09,5832,720,0.0,,,4.917479440911082e-07,4.917479440911082e-07,0.0007012474200245646,0.0004383969249223204,0.0,0.0,0.0,,,,
2025-09,2025-10,6552,744,0.0,,,1.4718837878937433e-07,1.4718837878937433e-07,0.0003836513766290619,0.00023703895472589398,0.0,0.0,0.0,,,,
2025-10,2025-11,7296,720,0.0,,,8.528644172916827e-08,8.528644172916827e-08,0.0002920384250902067,0.000201966312094252,0.0,0.0,0.0,,,,
2025-11,2025-12,8016,744,16.13,0.8289196047008547,0.5538777071553934,0.16091333427464732,0.16091333427464732,0.40114004322012947,0.16123008477274764,0.0,0.0,0.0,0.00014763082435820252,0.45217391304347826,0.8666666666666667,0.5942857142857143
2025-12,2026-01,8760,744,100.0,,,0.5660817547081474,0.5660817547081474,0.7523840473509174,0.7523350740272191,0.0,0.0,0.0,,,,
2026-01,2026-02,9504,672,14.14,0.9995712852321444,0.9948464912280701,0.12671146419146534,0.12671146419146534,0.3559655379267287,0.17240291547828487,0.0,0.0,0.0,0.05533040314912796,0.9895833333333334,1.0,0.9947643979057592
2026-02,2026-03,10176,744,29.03,0.744765361952862,0.6308690731151967,0.22302287456156272,0.22302287456156272,0.4722529772924282,0.32127796843527784,0.0,0.0,0.0,0.10237067937850952,0.46017699115044247,0.7222222222222222,0.5621621621621622
2026-03,2026-04,10920,720,100.0,,,0.3292351208942991,0.3292351208942991,0.5737901366303704,0.5641052571849691,1.0,0.23055555555555557,0.3747178329571106,,,,
2026-04,2026-05,11640,744,70.83,0.8254269449715371,0.9241775497764481,0.25576850020501785,0.25576850020501785,0.505735603062527,0.44291883947387817,0.9305555555555556,0.635673624288425,0.7553551296505073,0.17023180425167084,0.7485119047619048,0.9544592030360531,0.8390325271059216
2026-05,2026-06,12384,720,100.0,,,0.27230161949714665,0.27230161949714665,0.5218252767901788,0.5195976068576177,1.0,0.5972222222222222,0.7478260869565218,,,,
2026-06,2026-07,13104,744,45.16,1.0,1.0,0.16097516026353828,0.16097516026353828,0.4012170986679634,0.38313806473567924,1.0,0.2857142857142857,0.4444444444444444,0.48808303475379944,1.0,1.0,1.0
2026-07,2026-08,13848,720,0.0,,,0.11613014096191294,0.11613014096191294,0.34077872727315733,0.34074018390642274,0.0,0.0,0.0,,,,
