test_month,n_test,mape_pct,is_anomaly_period
2025-04,634,13.81612302482532,False
2025-05,589,13.332857541067595,False
2025-06,590,10.345439036163622,False
2025-07,645,13.056196149479726,False
2025-08,705,12.513061561214553,False
2025-09,662,10.165906732647157,False
2025-10,705,8.070987177446439,False
2025-11,478,11.903963108169958,True
2025-12,505,12.061425780793526,True
2026-01,145,17.62799374862083,True
2026-02,420,8.23633153468233,False
2026-03,548,11.053017315482819,False
2026-04,215,14.312102455223103,False
2026-06,114,24.483208852987413,False
2026-07,616,11.645219102322416,False
2026-08,568,11.70409285196921,False
